"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Asking rent prices, by rental unit type and number of bedrooms, experimental estimates","46100092",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=4610009201",1,"CURRENT - a cube available to the public and that is current","Quarterly","2019-01-01","2025-10-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Rental unit type",,""
"3","Estimates",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","St. John's, Census metropolitan area (CMA)","[001]","1","","",,
"1","Halifax, Census metropolitan area (CMA)","[205]","2","","",,
"1","Fredericton, Census metropolitan area (CMA)","[320]","3","","",,
"1","Moncton, Census metropolitan area (CMA)","[305]","4","","",,
"1","Saint John, Census metropolitan area (CMA)","[310]","5","","",,
"1","Drummondville, Census metropolitan area (CMA)","[447]","6","","",,
"1","Montréal, Census metropolitan area (CMA)","[462]","7","","",,
"1","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","[24505]","8","","",,
"1","Québec, Census metropolitan area (CMA)","[421]","9","","",,
"1","Saguenay, Census metropolitan area (CMA)","[408]","10","","",,
"1","Sherbrooke, Census metropolitan area (CMA)","[433]","11","","",,
"1","Trois-Rivières, Census metropolitan area (CMA)","[442]","12","","",,
"1","Barrie, Census metropolitan area (CMA)","[568]","13","","",,
"1","Belleville - Quinte West, Census metropolitan area (CMA)","[522]","14","","",,
"1","Brantford, Census metropolitan area (CMA)","[543]","15","","",,
"1","Greater Sudbury, Census metropolitan area (CMA)","[580]","16","","",,
"1","Guelph, Census metropolitan area (CMA)","[550]","17","","",,
"1","Hamilton, Census metropolitan area (CMA)","[537]","18","","",,
"1","Kingston, Census metropolitan area (CMA)","[521]","19","","",,
"1","Kitchener - Cambridge - Waterloo, Census metropolitan area (CMA)","[541]","20","","",,
"1","London, Census metropolitan area (CMA)","[555]","21","","",,
"1","Oshawa, Census metropolitan area (CMA)","[532]","22","","",,
"1","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","[35505]","23","","",,
"1","Peterborough, Census metropolitan area (CMA)","[529]","24","","",,
"1","St. Catharines - Niagara, Census metropolitan area (CMA)","[539]","25","","",,
"1","Thunder Bay, Census metropolitan area (CMA)","[595]","26","","",,
"1","Toronto, Census metropolitan area (CMA)","[535]","27","","",,
"1","Windsor, Census metropolitan area (CMA)","[559]","28","","",,
"1","Winnipeg, Census metropolitan area (CMA)","[602]","29","","",,
"1","Regina, Census metropolitan area (CMA)","[705]","30","","",,
"1","Saskatoon, Census metropolitan area (CMA)","[725]","31","","",,
"1","Calgary, Census metropolitan area (CMA)","[825]","32","","",,
"1","Edmonton, Census metropolitan area (CMA)","[835]","33","","",,
"1","Lethbridge, Census metropolitan area (CMA)","[810]","34","","",,
"1","Red Deer, Census metropolitan area (CMA)","[830]","35","","",,
"1","Abbotsford - Mission, Census metropolitan area (CMA)","[932]","36","","",,
"1","Chilliwack, Census metropolitan area (CMA)","[930]","37","","",,
"1","Kamloops, Census metropolitan area (CMA)","[925]","38","","",,
"1","Kelowna, Census metropolitan area (CMA)","[915]","39","","",,
"1","Nanaimo, Census metropolitan area (CMA)","[938]","40","","",,
"1","Vancouver, Census metropolitan area (CMA)","[933]","41","","",,
"1","Victoria, Census metropolitan area (CMA)","[935]","42","","",,
"2","House - 2 bedrooms","","6","","",,
"2","House - 3 or more bedrooms","","7","","",,
"2","Apartment - No bedroom","","1","","",,
"2","Apartment - 1 bedroom","","2","","",,
"2","Apartment - 2 bedrooms","","3","","",,
"2","Apartment - 3 or more bedrooms","","4","","",,
"2","Room","","5","","",,
"3","Average asking rent","","1","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"5427","Quarterly Rent Statistics"

"Subject Code","Subject Name"
"46","Housing"

"Note ID",Note
1,"For information on methodological changes as well as the limitations specific to a given reference period, please consult the <a href="https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getMainChange&Id=1581113" rel="external noopener noreferrer" target="_blank">Summary of changes (opens new window)</a> page."

"Correction ID","Correction Date","Correction Note"
